,입고 예약 날짜,센터,협력회사,입고 예약 설정 시간,입고예약,미처리 예약,현재 시각
111,2022/06/24,E600 : 제주물류센터,A0053856: 종로복떡방,a_2100,0 건,x,2022_06_22_08_16
112,2022/06/24,E600 : 제주물류센터,A0058410: 청호식품,a_2100,0 건,x,2022_06_22_08_16
113,2022/06/24,E600 : 제주물류센터,A0134072: (주) 이룸푸드시스템,a_2100,0 건,x,2022_06_22_08_16
114,2022/06/24,E600 : 제주물류센터,A0142645: (주)일화,a_2100,0 건,x,2022_06_22_08_16
115,2022/06/24,E600 : 제주물류센터,A0154307: 농업회사법인주식회사 네이처팜,a_2100,0 건,x,2022_06_22_08_16
116,2022/06/24,E600 : 제주물류센터,A0157435: (주)세진에프알에스,a_2100,0 건,x,2022_06_22_08_16
117,2022/06/24,E600 : 제주물류센터,A0164484: 태광식품(주),a_2100,0 건,x,2022_06_22_08_16
118,2022/06/24,E600 : 제주물류센터,A0165357: 샘표식품 주식회사,a_2100,0 건,x,2022_06_22_08_17
119,2022/06/24,E600 : 제주물류센터,A0169483: (주)움트리,a_2100,0 건,x,2022_06_22_08_17
120,2022/06/24,E600 : 제주물류센터,A0176657: 주식회사 스칸딕프라자,a_2100,0 건,x,2022_06_22_08_17
121,2022/06/24,E600 : 제주물류센터,A0193596: (주)에스앤푸드,a_2100,0 건,x,2022_06_22_08_17
122,2022/06/24,E600 : 제주물류센터,A0221253: 솔로몬엔터프라이즈주식회사,a_2100,0 건,x,2022_06_22_08_17
123,2022/06/24,E600 : 제주물류센터,A0232510: 이엔푸드,a_2100,0 건,x,2022_06_22_08_17
124,2022/06/24,E600 : 제주물류센터,A0245015: (주)삼아아시아,a_2100,0 건,x,2022_06_22_08_17
125,2022/06/23,E100 : 용인물류센터,A0021178: (주)엠디에스코리아,a_2100,50 건,0 건,2022_06_22_08_18
126,2022/06/23,E100 : 용인물류센터,A0021400: 영미산업(주),a_2100,0 건,x,2022_06_22_08_18
127,2022/06/23,E100 : 용인물류센터,A0026129: 연세대학교 연세우유,a_2100,62 건,0 건,2022_06_22_08_19
128,2022/06/23,E100 : 용인물류센터,A0026283: (주)정.식품,a_2100,40 건,0 건,2022_06_22_08_20
129,2022/06/23,E100 : 용인물류센터,A0026875: 대상푸드플러스주식회사,a_2100,34 건,0 건,2022_06_22_08_22
130,2022/06/23,E100 : 용인물류센터,A0035706: (주)병천아우내식품,a_2100,7 건,0 건,2022_06_22_08_23
131,2022/06/23,E100 : 용인물류센터,A0037854: 주식회사 동방푸드마스타,a_2100,16 건,0 건,2022_06_22_08_24
132,2022/06/23,E100 : 용인물류센터,A0037855: 그린써브(주),a_1730,105 건,0 건,2022_06_22_08_25
133,2022/06/23,E100 : 용인물류센터,A0039824: 씨제이 푸드빌(주),a_2100,62 건,0 건,2022_06_22_08_25
134,2022/06/23,E100 : 용인물류센터,A0049477: 대상에프앤비(주),a_2100,1 건,0 건,2022_06_22_08_26
135,2022/06/23,E100 : 용인물류센터,A0051109: (주)에취알에스,a_2100,5 건,0 건,2022_06_22_08_27
136,2022/06/23,E100 : 용인물류센터,A0053856: 종로복떡방,a_2100,28 건,0 건,2022_06_22_08_28
137,2022/06/23,E100 : 용인물류센터,A0058410: 청호식품,a_2100,0 건,x,2022_06_22_08_28
138,2022/06/23,E100 : 용인물류센터,A0134072: (주) 이룸푸드시스템,a_2100,13 건,0 건,2022_06_22_08_29
139,2022/06/23,E100 : 용인물류센터,A0142645: (주)일화,a_2100,14 건,0 건,2022_06_22_08_30
140,2022/06/23,E100 : 용인물류센터,A0154307: 농업회사법인주식회사 네이처팜,a_2100,3 건,0 건,2022_06_22_08_31
141,2022/06/23,E100 : 용인물류센터,A0157435: (주)세진에프알에스,a_2100,2 건,0 건,2022_06_22_08_32
142,2022/06/23,E100 : 용인물류센터,A0164484: 태광식품(주),a_2100,123 건,0 건,2022_06_22_08_33
143,2022/06/23,E100 : 용인물류센터,A0165357: 샘표식품 주식회사,a_2100,1 건,0 건,2022_06_22_08_34
144,2022/06/23,E100 : 용인물류센터,A0169483: (주)움트리,a_2100,15 건,0 건,2022_06_22_08_35
145,2022/06/23,E100 : 용인물류센터,A0176657: 주식회사 스칸딕프라자,a_2100,2 건,0 건,2022_06_22_08_36
146,2022/06/23,E100 : 용인물류센터,A0193596: (주)에스앤푸드,a_2100,15 건,0 건,2022_06_22_08_38
147,2022/06/23,E100 : 용인물류센터,A0221253: 솔로몬엔터프라이즈주식회사,a_2100,2 건,0 건,2022_06_22_08_39
148,2022/06/23,E100 : 용인물류센터,A0232510: 이엔푸드,a_2100,5 건,0 건,2022_06_22_08_40
149,2022/06/23,E100 : 용인물류센터,A0245015: (주)삼아아시아,a_2100,2 건,0 건,2022_06_22_08_41
